mapX,mapY,sourceX,sourceY,enable
171716.957978685,1131705.7044363604,1671.6188,-3124.6125,1
171623.8549171032,1131685.9475076047,1509.9343,-3153.527,1
172010.77857548726,1131641.5073369648,2128.5095,-3169.9521,1
171872.74990654818,1131667.003857697,1854.3751,-3182.9062,1
171978.53725522733,1131610.8369163263,2052.511,-3218.6729,1
172200.6196606653,1131596.17297371,2377.2612,-3212.1582,1
171893.94695569528,1131598.1032768816,1918.067,-3251.2456,1
172343.389811909,1131574.2858333446,2595.0874,-3257.7603,1
171509.34431317038,1131584.867831256,1306.1063,-3273.5854,1
172571.16524395754,1131573.1862650916,2955.9893,-3273.5854,1
172478.69555406016,1131559.2114736356,2813.8455,-3280.0625,1
171714.2100262912,1131567.2120536312,1666.5422,-3316.3916,1
172133.79822081557,1131541.9354174822,2290.9595,-3318.9248,1
171654.47128225656,1131540.9950359904,1537.45,-3338.3562,1
172509.39657384218,1131511.1804388885,2863.5874,-3344.8333,1
172437.98570130506,1131501.9996550349,2753.539,-3361.9934,1
171631.17706849423,1131517.5255763098,1495.5297,-3375.0227,1
172377.61387857498,1131481.5190373056,2662.3093,-3401.081,1
172493.436132422,1131475.4625179337,2829.0752,-3414.1104,1
171927.64133957305,1131445.173181996,2001.8374,-3461.421,1
172410.9417145733,1131437.0745056623,2702.1611,-3479.2563,1
172144.10392774455,1131428.1164038216,2336.6484,-3487.329,1
171640.59828629627,1131428.0917805517,1519.322,-3505.3142,1
172183.4334025162,1131364.3363467762,2365.6875,-3558.5771,1
172419.38501959603,1131369.6204999362,2717.3909,-3570.4604,1
171942.54368430152,1131362.5987255129,2037.1312,-3590.0042,1
172145.73429992178,1131349.8866907663,2321.3984,-3583.4895,1
171907.4538476783,1131360.4715066866,1981.2892,-3596.5186,1
171664.55377030946,1131372.8698003725,1572.3547,-3603.0332,1
172103.36958103254,1131333.7095347177,2268.581,-3609.5479,1
172353.84985108196,1131326.2876576863,2652.9375,-3636.302,1
172273.6526249948,1131313.9737707025,2499.0562,-3668.1794,1
172075.15469031676,1131301.4323111658,2220.5654,-3674.6938,1
172113.21262575284,1131263.3770785215,2219.8877,-3752.8894,1
171856.8152584265,1131236.4339531756,1915.2938,-3785.4417,1
172304.39027561346,1131248.2935679504,2504.1753,-3785.275,1
172533.14033273465,1132150.1487271192,2849.5703,-2339.204,1
172584.48350369048,1132154.0546520038,2916.792,-2352.2334,1
172014.2989591339,1132146.0514236316,2062.114,-2371.777,1
172538.65339073192,1132075.4228210775,2854.458,-2449.9521,1
172742.1003664587,1132117.6990438558,3080.0454,-2469.4958,1
171750.02563910588,1132033.1032419992,1707.1548,-2547.671,1
172284.3324937051,1132020.5831809868,2479.85,-2573.7292,1
172162.09388330986,1131938.5762308433,2290.9595,-2684.477,1
172300.32172095936,1131919.770515819,2514.3281,-2723.5645,1
172009.6406487491,1131936.7660054076,2040.1375,-2723.0332,1
172255.1287859059,1131919.443976631,2422.9502,-2736.5938,1
172171.470640583,1131891.7793246054,2326.2,-2756.1375,1
172131.3179194565,1131897.9751973914,2255.4236,-2782.1958,1
171862.27060315068,1131866.017964092,1869.6047,-2899.4583,1
171562.5038073549,1131824.0628635024,1407.6376,-2938.546,1
172591.1611067796,1131769.6543534093,2996.6018,-2971.1187,1
172280.50700587002,1131745.577436749,2499.0562,-2984.148,1
171514.1580392197,1131757.235410771,1316.2594,-3029.75,1
172318.5407169939,1131693.5643724694,2565.0938,-3088.3813,1
171884.46296006138,1131705.3805648044,1889.911,-3107.925,1
171739.73757781257,1131689.7137118625,1747.7672,-3140.4978,1
172162.63028318016,1131627.6621943084,2306.1892,-3147.0125,1
172154.6094344478,1131581.1374358418,2321.419,-3218.6729,1
172615.74317638105,1131598.7859745787,3016.908,-3225.1875,1
172474.41114473328,1131522.163659278,2803.6924,-3342.45,1
172213.93826795457,1131485.1323796348,2402.644,-3355.479,1
172052.98388736698,1131479.726450695,2194.505,-3381.5376,1
172567.12050571185,1131442.4310027203,2930.6064,-3472.7415,1
172393.54528415168,1131314.635343121,2758.3406,-3642.1206,1
172043.97342851508,1131272.9706709352,2158.9688,-3746.354,1
171525.59117773615,1131259.372760769,1361.9485,-3818.0146,1
171589.4977026714,1131236.9718061744,1447.514,-3818.0146,1
171750.24047964832,1131216.6818756564,1722.3844,-3837.558,1
171843.54654083846,1131200.1127826427,1894.0593,-3850.5874,1
172200.1867552525,1131182.6460333015,2387.414,-3857.1023,1
171882.36196256976,1131177.515704308,1946.8765,-3883.1606,1
171850.83349058314,1131157.8968103915,1894.0593,-3922.2478,1
171567.3522292143,1131153.4930033586,1407.6376,-3948.3062,1
171916.031685482,1131096.304750576,1981.2893,-3993.9082,1
172167.98512687473,1131087.2690397126,2331.0015,-3993.9082,1
171715.30287810453,1131104.450589767,1661.4657,-4032.9956,1
172192.6426819169,1131032.0574567132,2351.8784,-4065.5688,1
171816.25991452567,1131067.8099190425,1813.7626,-4072.0833,1
171884.05593196143,1131058.2898003967,1940.6766,-4072.0833,1
171799.8316032824,1131014.7261431061,1823.9158,-4150.2583,1
171872.77537247667,1130953.8223900949,1937.2734,-4189.3457,1
171600.9243716314,1130925.3376606998,1509.1688,-4319.6377,1
172263.4593054503,1130817.8881127068,2453.4097,-4423.871,1
171813.48618787873,1130730.9636464603,1849.2986,-4580.2207,1
171721.5305004604,1130705.7815746216,1735.6078,-4645.3667,1
172258.7050999336,1130665.4194670245,2570.1704,-4717.0273,1
171679.88559651174,1130678.1061902377,1658.7827,-4736.571,1
171692.09948929545,1130627.5546748734,1691.925,-4795.202,1
171646.0268518148,1130322.737217339,1615.7766,-5238.1934,1
171605.20601090582,1130255.3008922767,1538.7438,-5309.854,1
172309.4237799372,1132278.435738202,2509.3125,-2191.9126,1
172068.61151168068,1132211.7551601292,2140.6748,-2302.023,1
172484.80029288825,1132106.9114605023,2777.4126,-2405.6562,1
171873.4023312147,1132152.0320788645,1886.9375,-2425.0874,1
172540.21111849818,1132072.8953695297,2854.0125,-2463.95,1
172354.22553943336,1132077.0885920483,2605.0625,-2489.8584,1
171949.73101067383,1132012.9059945275,1922.8688,-2625.8457,1
172114.3763158123,1131939.6022858843,2236.4248,-2671.2166,1
172602.56164430146,1131935.3127213381,2944.975,-2710.079,1
173250.66411221394,1131864.6518222939,4012.5876,-2735.9875,1
173270.30730940468,1131836.2396860113,4074.825,-2761.8958,1
171762.63843661384,1131912.033035164,1692.3938,-2775.6812,1
172101.45145523487,1131876.6924649947,2241.2124,-2826.6665,1
171909.4939460467,1131871.054283129,1906.0874,-2878.4834,1
172046.58120026032,1131656.5360450947,2183.7625,-3137.5667,1
172284.57815984506,1131621.8352306315,2494.95,-3182.9062,1
171764.06522094336,1131522.6909983254,1730.8062,-3375.023,1
171649.4995842458,1131469.4693200781,1523.0875,-3454.9438,1
